|   id |      x |      y |  size |
|    1 | -21.75 |  -2.75 | 0.024 |
|    2 | -21.75 |  -2.25 | 0.024 |
|    3 | -21.75 |  -1.75 | 0.024 |
|    4 | -21.75 |  -1.25 | 0.024 |
|    5 | -21.75 |  -0.75 | 0.024 |
|    6 | -21.75 |  -0.25 | 0.024 |
|    7 | -21.75 |   0.25 | 0.024 |
|    8 | -21.75 |   0.75 | 0.024 |
|    9 | -21.75 |   1.25 | 0.024 |
|   10 | -21.75 |   1.75 | 0.024 |
|   11 | -21.75 |   2.25 | 0.024 |
|   12 | -21.75 |   2.75 | 0.024 |
|   13 | -21.25 |  -5.25 | 0.024 |
|   14 | -21.25 |  -4.75 | 0.024 |
|   15 | -21.25 |  -4.25 | 0.024 |
|   16 | -21.25 |  -3.75 | 0.024 |
|   17 | -21.25 |  -3.25 | 0.024 |
|   18 | -21.25 |  -2.75 | 0.024 |
|   19 | -21.25 |  -2.25 | 0.024 |
|   20 | -21.25 |  -1.75 | 0.024 |
|   21 | -21.25 |  -1.25 | 0.024 |
|   22 | -21.25 |  -0.75 | 0.024 |
|   23 | -21.25 |  -0.25 | 0.024 |
|   24 | -21.25 |   0.25 | 0.024 |
|   25 | -21.25 |   0.75 | 0.024 |
|   26 | -21.25 |   1.25 | 0.024 |
|   27 | -21.25 |   1.75 | 0.024 |
|   28 | -21.25 |   2.25 | 0.024 |
|   29 | -21.25 |   2.75 | 0.024 |
|   30 | -21.25 |   3.25 | 0.024 |
|   31 | -21.25 |   3.75 | 0.024 |
|   32 | -21.25 |   4.25 | 0.024 |
|   33 | -21.25 |   4.75 | 0.024 |
|   34 | -21.25 |   5.25 | 0.024 |
|   35 | -20.75 |  -7.25 | 0.024 |
|   36 | -20.75 |  -6.75 | 0.024 |
|   37 | -20.75 |  -6.25 | 0.024 |
|   38 | -20.75 |  -5.75 | 0.024 |
|   39 | -20.75 |  -5.25 | 0.024 |
|   40 | -20.75 |  -4.75 | 0.024 |
|   41 | -20.75 |  -4.25 | 0.024 |
|   42 | -20.75 |  -3.75 | 0.024 |
|   43 | -20.75 |  -3.25 | 0.024 |
|   44 | -20.75 |  -2.75 | 0.024 |
|   45 | -20.75 |  -2.25 | 0.024 |
|   46 | -20.75 |  -1.75 | 0.024 |
|   47 | -20.75 |  -1.25 | 0.024 |
|   48 | -20.75 |  -0.75 | 0.024 |
|   49 | -20.75 |  -0.25 | 0.024 |
|   50 | -20.75 |   0.25 | 0.024 |
|   51 | -20.75 |   0.75 | 0.024 |
|   52 | -20.75 |   1.25 | 0.024 |
|   53 | -20.75 |   1.75 | 0.024 |
|   54 | -20.75 |   2.25 | 0.024 |
|   55 | -20.75 |   2.75 | 0.024 |
|   56 | -20.75 |   3.25 | 0.024 |
|   57 | -20.75 |   3.75 | 0.024 |
|   58 | -20.75 |   4.25 | 0.024 |
|   59 | -20.75 |   4.75 | 0.024 |
|   60 | -20.75 |   5.25 | 0.024 |
|   61 | -20.75 |   5.75 | 0.024 |
|   62 | -20.75 |   6.25 | 0.024 |
|   63 | -20.75 |   6.75 | 0.024 |
|   64 | -20.75 |   7.25 | 0.024 |
|   65 | -20.25 |  -8.25 | 0.024 |
|   66 | -20.25 |  -7.75 | 0.024 |
|   67 | -20.25 |  -7.25 | 0.024 |
|   68 | -20.25 |  -6.75 | 0.024 |
|   69 | -20.25 |  -6.25 | 0.024 |
|   70 | -20.25 |  -5.75 | 0.024 |
|   71 | -20.25 |  -5.25 | 0.024 |
|   72 | -20.25 |  -4.75 | 0.024 |
|   73 | -20.25 |  -4.25 | 0.024 |
|   74 | -20.25 |  -3.75 | 0.024 |
|   75 | -20.25 |  -3.25 | 0.024 |
|   76 | -20.25 |  -2.75 | 0.024 |
|   77 | -20.25 |  -2.25 | 0.024 |
|   78 | -20.25 |  -1.75 | 0.024 |
|   79 | -20.25 |  -1.25 | 0.024 |
|   80 | -20.25 |  -0.75 | 0.024 |
|   81 | -20.25 |  -0.25 | 0.024 |
|   82 | -20.25 |   0.25 | 0.024 |
|   83 | -20.25 |   0.75 | 0.024 |
|   84 | -20.25 |   1.25 | 0.024 |
|   85 | -20.25 |   1.75 | 0.024 |
|   86 | -20.25 |   2.25 | 0.024 |
|   87 | -20.25 |   2.75 | 0.024 |
|   88 | -20.25 |   3.25 | 0.024 |
|   89 | -20.25 |   3.75 | 0.024 |
|   90 | -20.25 |   4.25 | 0.024 |
|   91 | -20.25 |   4.75 | 0.024 |
|   92 | -20.25 |   5.25 | 0.024 |
|   93 | -20.25 |   5.75 | 0.024 |
|   94 | -20.25 |   6.25 | 0.024 |
|   95 | -20.25 |   6.75 | 0.024 |
|   96 | -20.25 |   7.25 | 0.024 |
|   97 | -20.25 |   7.75 | 0.024 |
|   98 | -20.25 |   8.25 | 0.024 |
|   99 | -19.75 |  -9.25 | 0.024 |
|  100 | -19.75 |  -8.75 | 0.024 |
|  101 | -19.75 |  -8.25 | 0.024 |
|  102 | -19.75 |  -7.75 | 0.024 |
|  103 | -19.75 |  -7.25 | 0.024 |
|  104 | -19.75 |  -6.75 | 0.024 |
|  105 | -19.75 |  -6.25 | 0.024 |
|  106 | -19.75 |  -5.75 | 0.024 |
|  107 | -19.75 |  -5.25 | 0.024 |
|  108 | -19.75 |  -4.75 | 0.024 |
|  109 | -19.75 |  -4.25 | 0.024 |
|  110 | -19.75 |  -3.75 | 0.024 |
|  111 | -19.75 |  -3.25 | 0.024 |
|  112 | -19.75 |  -2.75 | 0.024 |
|  113 | -19.75 |  -2.25 | 0.024 |
|  114 | -19.75 |  -1.75 | 0.024 |
|  115 | -19.75 |  -1.25 | 0.024 |
|  116 | -19.75 |  -0.75 | 0.024 |
|  117 | -19.75 |  -0.25 | 0.024 |
|  118 | -19.75 |   0.25 | 0.024 |
|  119 | -19.75 |   0.75 | 0.024 |
|  120 | -19.75 |   1.25 | 0.024 |
|  121 | -19.75 |   1.75 | 0.024 |
|  122 | -19.75 |   2.25 | 0.024 |
|  123 | -19.75 |   2.75 | 0.024 |
|  124 | -19.75 |   3.25 | 0.024 |
|  125 | -19.75 |   3.75 | 0.024 |
|  126 | -19.75 |   4.25 | 0.024 |
|  127 | -19.75 |   4.75 | 0.024 |
|  128 | -19.75 |   5.25 | 0.024 |
|  129 | -19.75 |   5.75 | 0.024 |
|  130 | -19.75 |   6.25 | 0.024 |
|  131 | -19.75 |   6.75 | 0.024 |
|  132 | -19.75 |   7.25 | 0.024 |
|  133 | -19.75 |   7.75 | 0.024 |
|  134 | -19.75 |   8.25 | 0.024 |
|  135 | -19.75 |   8.75 | 0.024 |
|  136 | -19.75 |   9.25 | 0.024 |
|  137 | -19.25 | -10.25 | 0.024 |
|  138 | -19.25 |  -9.75 | 0.024 |
|  139 | -19.25 |  -9.25 | 0.024 |
|  140 | -19.25 |  -8.75 | 0.024 |
|  141 | -19.25 |  -8.25 | 0.024 |
|  142 | -19.25 |  -7.75 | 0.024 |
|  143 | -19.25 |  -7.25 | 0.024 |
|  144 | -19.25 |  -6.75 | 0.024 |
|  145 | -19.25 |  -6.25 | 0.024 |
|  146 | -19.25 |  -5.75 | 0.024 |
|  147 | -19.25 |  -5.25 | 0.024 |
|  148 | -19.25 |  -4.75 | 0.024 |
|  149 | -19.25 |  -4.25 | 0.024 |
|  150 | -19.25 |  -3.75 | 0.024 |
|  151 | -19.25 |  -3.25 | 0.024 |
|  152 | -19.25 |  -2.75 | 0.024 |
|  153 | -19.25 |  -2.25 | 0.024 |
|  154 | -19.25 |  -1.75 | 0.024 |
|  155 | -19.25 |  -1.25 | 0.024 |
|  156 | -19.25 |  -0.75 | 0.024 |
|  157 | -19.25 |  -0.25 | 0.024 |
|  158 | -19.25 |   0.25 | 0.024 |
|  159 | -19.25 |   0.75 | 0.024 |
